Week	Date	Gm1	Gm2	Gm3	SS	HCP	HS	Avg Before	Avg After	Avg Today	+/- Avg
24	02/10/2026	141	223	133	497	0	497	172	172	165	-7
23	02/03/2026	172	172	172	0	0	516	172	172	0	-172
22	01/27/2026	204	205	193	602	0	602	171	172	200	29
21	01/20/2026	136	219	150	505	0	505	171	171	168	-3
20	01/13/2026	158	148	181	487	0	487	171	171	162	-9
19	01/06/2026	180	151	145	476	0	476	172	171	158	-14
18	12/30/2025	178	155	191	524	0	524	172	172	174	2
17	12/23/2025	184	129	180	493	0	493	172	172	164	-8
16	12/16/2025	141	154	140	435	0	435	174	172	145	-29
15	12/09/2025	133	201	147	481	0	481	175	174	160	-15
14	12/02/2025	158	154	150	462	0	462	177	175	154	-23
13	11/25/2025	160	185	158	503	0	503	178	177	167	-11
12	11/18/2025	129	174	186	489	0	489	179	178	163	-16
11	11/11/2025	171	151	169	491	0	491	181	179	163	-18
10	11/04/2025	171	156	157	484	0	484	183	181	161	-22
9	10/28/2025	143	176	185	504	0	504	185	183	168	-17
8	10/21/2025	127	150	141	418	0	418	191	185	139	-52
7	10/14/2025	168	223	169	560	0	560	192	191	186	-6
6	10/07/2025	226	180	208	614	0	614	190	192	204	14
5	09/30/2025	149	244	151	544	0	544	192	190	181	-11
4	09/23/2025	216	180	169	565	0	565	193	192	188	-5
3	09/16/2025	168	228	164	560	0	560	197	193	186	-11
2	09/09/2025	171	205	212	588	0	588	198	197	196	-2
1	09/02/2025	188	202	204	594	0	594	169	198	198	29
